"id","name","description","path","flag"
"1","用户管理","用户管理","/page/end/user.html","user"
"2","角色管理","角色管理","/page/end/role.html","role"
"3","权限管理","权限管理","/page/end/permission.html","permission"
"19","公告管理","公告管理","/page/end/notice.html","notice"
"20","插件管理","插件管理","/page/end/plugins.html","plugins"
"21","聊天室","聊天室","/page/end/im.html","im"
"22","在线留言","在线留言","/page/end/message.html","message"
"31","分类管理","分类管理","/page/end/category.html","category"
"35","拱墅区_高速路均速信息20230911管理","拱墅区_高速路均速信息20230911管理","/page/end/fastRoad.html","fastRoad"
"36","拱墅区_快速路均速信息20230911管理","拱墅区_快速路均速信息20230911管理","/page/end/freeWay.html","freeWay"
"37","交通智能","交通GPT","/page/end/pyhtonStart.html","pythonStart"
