"id","时间点","快速路均速历史值","name","快速路均速","实时和历史趋势","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27"
"1","2019/1/12 0:02","30.44","主城区","31.2","[{""y"":30.45","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:30.92","s:""2""}","{""y"":30.44","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:31.2","s:""2""}","{""y"":30.48","x:""00:04:00""","s:""1""}","{""y"":30.49","x:""00:06:00""","s:""1""}","{""y"":30.51","x:""00:08:00""","s:""1""}","{""y"":30.56"
"10","2019/1/12 0:06","30.49","主城区","31.1","[{""y"":30.45","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:30.92","s:""2""}","{""y"":30.44","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:31.2","s:""2""}","{""y"":30.48","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:31.06","s:""2""}","{""y"":30.49","x:""00:06:00""","s:""1""}","{""x"":""00:0"
"100","2019/1/12 0:20","32.04","下沙大队","32.79","[{""y"":31.78","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:33.02","s:""2""}","{""y"":31.73","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:33.25","s:""2""}","{""y"":31.94","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:32.58","s:""2""}","{""y"":32.02","x:""00:06:00""","s:""1""}","{""x"":""00:"
"1000","2019/1/12 0:04","28.39","上城大队","28.92","[{""y"":28.65","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:28.86","s:""2""}","{""y"":28.44","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:29.54","s:""2""}","{""y"":28.39","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:28.92","s:""2""}","{""y"":28.41","x:""00:06:00""","s:""1""}","{""y"":28.4"
"1001","2019/1/12 0:04","41.55","富阳大队","32.89","[{""y"":41.59","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:34.53","s:""2""}","{""y"":41.31","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:40.01","s:""2""}","{""y"":41.55","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:32.89","s:""2""}","{""y"":41.75","x:""00:06:00""","s:""1""}","{""y"":41.1"
"1002","2019/1/12 0:04","36.37","建德大队","35.85","[{""y"":36.11","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:35.36","s:""2""}","{""y"":36.25","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:36.38","s:""2""}","{""y"":36.37","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:35.85","s:""2""}","{""y"":36.09","x:""00:06:00""","s:""1""}","{""y"":36.7"
"1003","2019/1/12 0:04","31.56","西湖大队","32.32","[{""y"":31.45","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:31.86","s:""2""}","{""y"":31.39","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:32.19","s:""2""}","{""y"":31.56","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:32.32","s:""2""}","{""y"":31.56","x:""00:06:00""","s:""1""}","{""y"":31.6"
"1004","2019/1/12 0:06","28.41","上城大队","29.46","[{""y"":28.65","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:28.86","s:""2""}","{""y"":28.44","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:29.54","s:""2""}","{""y"":28.39","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:28.92","s:""2""}","{""y"":28.41","x:""00:06:00""","s:""1""}","{""x"":""00:"
"1005","2019/1/12 0:06","28.04","下城大队","28.59","[{""y"":27.94","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:28.69","s:""2""}","{""y"":28.01","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:28.63","s:""2""}","{""y"":28","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:28.66","s:""2""}","{""y"":28.04","x:""00:06:00""","s:""1""}","{""x"":""00:06:"
"1006","2019/1/12 0:06","32.02","下沙大队","32.43","[{""y"":31.78","x:""00:00:00""","s:""1""}","{""x"":""00:00:00""","y:33.02","s:""2""}","{""y"":31.73","x:""00:02:00""","s:""1""}","{""x"":""00:02:00""","y:33.25","s:""2""}","{""y"":31.94","x:""00:04:00""","s:""1""}","{""x"":""00:04:00""","y:32.58","s:""2""}","{""y"":32.02","x:""00:06:00""","s:""1""}","{""x"":""00:"
